order_id,customer_id,order_date,order_value,payment_method,status,city
ORD_10086,CUST_1119,2024-04-12,1925,UPI,Cancelled,Delhi
ORD_10087,CUST_6179,2024-05-14,4696,Netbanking,Delivered,Hyderabad
ORD_10088,CUST_4468,2024-05-11,5163,Netbanking,Delivered,Hyderabad
ORD_10089,CUST_4952,2024-01-05,2346,COD,Delivered,Chennai
ORD_10090,CUST_3248,2023-12-25,644,Card,Delivered,Chennai
ORD_10091,CUST_1039,2023-12-08,3176,UPI,Delivered,Kolkata
ORD_10092,CUST_8772,2024-05-22,3330,COD,Delivered,Mumbai
ORD_10093,CUST_5982,2023-12-24,1954,UPI,Returned,Hyderabad
ORD_10094,CUST_8346,2024-04-28,4700,Netbanking,Delivered,Bangalore
ORD_10095,CUST_1454,2024-01-08,2967,Netbanking,Delivered,Mumbai
ORD_10096,CUST_5563,2024-04-23,3552,UPI,Delivered,Pune
ORD_10097,CUST_4328,2024-05-12,4519,Netbanking,Delivered,Kolkata
ORD_10098,CUST_1141,2024-04-12,4921,UPI,Delivered,Chennai
ORD_10099,CUST_6376,2024-04-16,2602,UPI,Delivered,Bangalore
ORD_10100,CUST_5705,2024-03-08,923,COD,Returned,Delhi
ORD_10101,CUST_2547,2024-02-29,2921,COD,Returned,Bangalore
ORD_10102,CUST_5359,2024-02-25,2872,UPI,Cancelled,Mumbai
ORD_10103,CUST_3972,2023-12-18,1027,COD,Returned,Bangalore
ORD_10104,CUST_7339,2024-01-13,4336,UPI,Returned,Hyderabad
ORD_10105,CUST_4589,2024-01-20,4392,Netbanking,Delivered,Pune
ORD_10106,CUST_3115,2024-02-06,3136,COD,Returned,Hyderabad
ORD_10107,CUST_6252,2024-04-05,2405,Netbanking,Delivered,Delhi
ORD_10108,CUST_2011,2024-05-02,2026,UPI,Delivered,Hyderabad
ORD_10109,CUST_5657,2024-02-23,3837,UPI,Delivered,Pune
ORD_10110,CUST_8876,2024-03-05,3349,Card,Cancelled,Kolkata
ORD_10111,CUST_6233,2024-04-15,957,UPI,Delivered,Delhi
ORD_10112,CUST_3565,2024-01-24,2650,UPI,Delivered,Kolkata
ORD_10113,CUST_4231,2024-02-11,2469,Card,Delivered,Kolkata
ORD_10114,CUST_1150,2024-05-09,2531,Netbanking,Cancelled,Hyderabad
ORD_10115,CUST_7281,2024-02-23,3212,Netbanking,Delivered,Bangalore
ORD_10116,CUST_6382,2024-05-18,4944,COD,Returned,Hyderabad
ORD_10117,CUST_5747,2024-03-01,4175,UPI,Cancelled,Bangalore
ORD_10118,CUST_7663,2024-05-09,1621,Netbanking,Delivered,Pune
ORD_10119,CUST_4603,2024-01-20,3666,COD,Returned,Bangalore
ORD_10120,CUST_5325,2024-02-25,4837,UPI,Delivered,Kolkata
ORD_10121,CUST_3747,2023-12-14,4754,Card,Delivered,Delhi
ORD_10122,CUST_5493,2024-01-02,1335,UPI,Cancelled,Kolkata
ORD_10123,CUST_6366,2023-12-26,1715,Netbanking,Cancelled,Bangalore
ORD_10124,CUST_1886,2024-04-27,3289,COD,Delivered,Pune
ORD_10125,CUST_2764,2024-01-26,580,Card,Returned,Delhi
ORD_10126,CUST_6686,2024-02-10,1842,Netbanking,Delivered,Hyderabad
ORD_10127,CUST_4615,2024-03-18,5211,Card,Delivered,Kolkata
ORD_10128,CUST_8671,2024-03-04,5195,COD,Returned,Bangalore
ORD_10129,CUST_8541,2023-12-23,350,COD,Delivered,Chennai
ORD_10130,CUST_6438,2024-05-18,1956,UPI,Delivered,Kolkata
ORD_10131,CUST_1192,2024-05-02,2629,Card,Returned,Hyderabad
ORD_10132,CUST_6313,2024-02-19,1033,COD,Delivered,Hyderabad
ORD_10133,CUST_6130,2024-03-31,2095,UPI,Delivered,Mumbai
ORD_10134,CUST_8444,2024-02-10,3222,UPI,Delivered,Pune
ORD_10135,CUST_8619,2024-01-18,5078,Netbanking,Delivered,Delhi
ORD_10136,CUST_4869,2023-12-16,465,COD,Cancelled,Chennai
ORD_10137,CUST_7755,2024-04-28,697,Netbanking,Delivered,Mumbai
ORD_10138,CUST_4686,2023-12-30,2078,UPI,Cancelled,Delhi
ORD_10139,CUST_8071,2024-03-11,3586,UPI,Delivered,Kolkata
ORD_10140,CUST_4657,2024-01-15,4550,COD,Delivered,Chennai
ORD_10141,CUST_4564,2024-05-12,3211,COD,Cancelled,Pune
ORD_10142,CUST_3070,2024-01-03,2683,Netbanking,Delivered,Chennai
ORD_10143,CUST_3967,2023-12-23,3504,UPI,Delivered,Bangalore
ORD_10144,CUST_7225,2023-12-11,1641,UPI,Delivered,Mumbai
ORD_10145,CUST_4385,2024-01-12,4504,Card,Returned,Pune
ORD_10146,CUST_6692,2024-03-14,4404,UPI,Delivered,Delhi
ORD_10147,CUST_1720,2024-02-24,2356,UPI,Delivered,Hyderabad
ORD_10148,CUST_6811,2023-12-22,2522,Netbanking,Delivered,Kolkata
ORD_10149,CUST_7491,2024-04-29,3766,Netbanking,Delivered,Pune
ORD_10150,CUST_4423,2024-01-19,4245,COD,Delivered,Bangalore
ORD_10151,CUST_5698,2024-01-18,4881,Netbanking,Cancelled,Mumbai
ORD_10152,CUST_3722,2024-04-07,3789,Netbanking,Delivered,Chennai
ORD_10153,CUST_4749,2024-02-27,3347,UPI,Delivered,Mumbai
ORD_10154,CUST_3427,2024-03-25,520,UPI,Delivered,Bangalore
ORD_10155,CUST_6849,2024-04-14,2864,COD,Returned,Delhi
ORD_10156,CUST_3016,2024-02-09,4884,Card,Delivered,Pune
ORD_10157,CUST_8343,2024-03-21,3907,Netbanking,Returned,Delhi
ORD_10158,CUST_8626,2023-12-07,774,COD,Returned,Delhi
ORD_10159,CUST_4636,2024-01-10,4831,Netbanking,Cancelled,Mumbai
ORD_10160,CUST_3924,2024-01-28,4413,Card,Delivered,Kolkata
ORD_10161,CUST_6949,2023-12-15,4263,Card,Delivered,Pune
ORD_10162,CUST_7308,2023-12-05,2510,COD,Cancelled,Mumbai
ORD_10163,CUST_6209,2023-12-21,1977,Card,Delivered,Mumbai
ORD_10164,CUST_5278,2024-05-14,4901,UPI,Delivered,Bangalore
ORD_10165,CUST_5276,2023-12-16,1339,UPI,Delivered,Delhi
ORD_10166,CUST_4873,2023-12-28,4804,UPI,Cancelled,Hyderabad
ORD_10167,CUST_7152,2024-02-10,3795,UPI,Delivered,Pune
ORD_10168,CUST_3044,2023-12-24,3490,Netbanking,Delivered,Kolkata
ORD_10169,CUST_3363,2024-02-17,867,COD,Delivered,Mumbai
ORD_10170,CUST_7752,2024-04-02,1030,UPI,Cancelled,Kolkata
ORD_10171,CUST_2657,2024-05-07,4898,Netbanking,Delivered,Mumbai
ORD_10172,CUST_5601,2024-02-21,1169,Card,Delivered,Kolkata
ORD_10173,CUST_4069,2024-04-17,2690,Netbanking,Cancelled,Chennai
ORD_10174,CUST_4320,2024-01-18,4734,COD,Delivered,Delhi
ORD_10175,CUST_1724,2024-04-13,4701,Card,Delivered,Bangalore
ORD_10176,CUST_4442,2024-02-17,1177,Card,Delivered,Hyderabad
ORD_10177,CUST_7579,2024-03-15,5055,UPI,Returned,Mumbai
ORD_10178,CUST_4611,2023-12-24,3625,UPI,Cancelled,Chennai
ORD_10179,CUST_5964,2024-03-16,449,Card,Cancelled,Pune
ORD_10180,CUST_7085,2024-03-30,948,Card,Delivered,Hyderabad
ORD_10181,CUST_7255,2024-03-12,3740,Netbanking,Cancelled,Hyderabad
ORD_10182,CUST_5596,2024-03-23,2335,COD,Returned,Chennai
ORD_10183,CUST_7059,2023-12-08,3685,UPI,Cancelled,Bangalore
ORD_10184,CUST_4718,2024-05-14,1659,COD,Delivered,Chennai
ORD_10185,CUST_7733,2024-03-31,3830,UPI,Delivered,Chennai
ORD_10186,CUST_4457,2024-03-25,5007,COD,Delivered,Chennai
ORD_10187,CUST_2996,2024-01-03,4949,COD,Cancelled,Delhi
ORD_10188,CUST_3244,2023-12-21,2806,COD,Returned,Chennai
ORD_10189,CUST_6835,2024-01-02,1332,UPI,Cancelled,Chennai
ORD_10190,CUST_6878,2023-12-08,2984,Card,Returned,Chennai
ORD_10191,CUST_3385,2024-02-15,702,UPI,Delivered,Pune
ORD_10192,CUST_2073,2023-12-26,4387,Card,Delivered,Kolkata
ORD_10193,CUST_6470,2024-03-14,4511,Netbanking,Cancelled,Chennai
ORD_10194,CUST_3795,2024-04-30,839,Card,Delivered,Hyderabad
ORD_10195,CUST_3752,2024-05-06,3783,Netbanking,Delivered,Delhi
ORD_10196,CUST_3904,2024-05-13,3461,Card,Returned,Mumbai
ORD_10197,CUST_4392,2024-04-09,442,Card,Delivered,Chennai
ORD_10198,CUST_1794,2024-04-27,4186,UPI,Returned,Kolkata
ORD_10199,CUST_1065,2024-03-18,5027,Card,Delivered,Kolkata
ORD_10200,CUST_2606,2024-04-24,1824,COD,Returned,Chennai
ORD_10201,CUST_7679,2024-04-13,4315,COD,Returned,Hyderabad
ORD_10202,CUST_1571,2024-05-23,1812,Card,Delivered,Pune
ORD_10203,CUST_4426,2024-05-09,4108,UPI,Delivered,Delhi
ORD_10204,CUST_2458,2023-12-08,2240,UPI,Returned,Kolkata
ORD_10205,CUST_2358,2024-04-11,479,COD,Cancelled,Chennai
ORD_10206,CUST_8592,2024-05-07,2277,Card,Delivered,Bangalore
ORD_10207,CUST_6563,2024-03-30,4512,COD,Delivered,Chennai
ORD_10208,CUST_4098,2024-03-31,3768,Netbanking,Returned,Mumbai
ORD_10209,CUST_4783,2024-01-19,3299,Card,Delivered,Kolkata
ORD_10210,CUST_7241,2024-03-27,1018,Netbanking,Cancelled,Kolkata
ORD_10211,CUST_2468,2024-04-12,3592,Netbanking,Delivered,Delhi
ORD_10212,CUST_3753,2024-01-04,2001,Card,Delivered,Pune
ORD_10213,CUST_4522,2024-03-28,985,COD,Delivered,Hyderabad
ORD_10214,CUST_6770,2024-03-08,4927,COD,Cancelled,Bangalore
ORD_10215,CUST_4084,2024-01-17,1350,UPI,Delivered,Pune
ORD_10216,CUST_7493,2024-04-04,4154,UPI,Delivered,Hyderabad
ORD_10217,CUST_2768,2024-01-05,758,UPI,Delivered,Hyderabad
ORD_10218,CUST_6686,2024-01-27,1283,Netbanking,Delivered,Kolkata
ORD_10219,CUST_8084,2024-04-17,3788,COD,Cancelled,Pune
ORD_10220,CUST_1887,2024-03-04,1823,Netbanking,Delivered,Hyderabad
ORD_10221,CUST_1133,2024-02-22,3045,UPI,Cancelled,Bangalore
ORD_10222,CUST_6292,2024-05-13,5115,COD,Returned,Chennai
ORD_10223,CUST_5265,2024-05-28,2587,COD,Delivered,Chennai
ORD_10224,CUST_2955,2024-01-04,4940,Card,Delivered,Delhi
ORD_10225,CUST_4186,2023-12-07,1523,Card,Returned,Bangalore
ORD_10226,CUST_8906,2024-02-14,519,COD,Delivered,Pune
ORD_10227,CUST_1860,2023-12-16,1753,Netbanking,Delivered,Delhi
ORD_10228,CUST_6383,2024-05-23,2554,UPI,Returned,Delhi
ORD_10229,CUST_8854,2024-01-18,3100,Netbanking,Returned,Bangalore
ORD_10230,CUST_7728,2024-04-26,1507,Card,Delivered,Hyderabad
ORD_10231,CUST_2908,2024-01-08,1776,Netbanking,Delivered,Kolkata
ORD_10232,CUST_3093,2024-02-07,4191,Netbanking,Delivered,Delhi
ORD_10233,CUST_1373,2024-04-02,1360,Card,Returned,Bangalore
ORD_10234,CUST_3707,2024-02-29,4172,Card,Delivered,Kolkata
ORD_10235,CUST_7612,2024-04-10,2596,Netbanking,Cancelled,Hyderabad
ORD_10236,CUST_8759,2024-03-05,4009,COD,Delivered,Kolkata
ORD_10237,CUST_6055,2024-03-24,3410,COD,Cancelled,Chennai
ORD_10238,CUST_8458,2024-03-25,938,Card,Delivered,Kolkata
ORD_10239,CUST_7366,2024-05-04,5065,Netbanking,Delivered,Bangalore
ORD_10240,CUST_1894,2024-02-29,475,Card,Cancelled,Delhi
ORD_10241,CUST_1782,2024-01-29,2732,UPI,Returned,Delhi
ORD_10242,CUST_6322,2023-12-06,1317,Netbanking,Delivered,Bangalore
ORD_10243,CUST_8510,2024-01-03,793,UPI,Returned,Bangalore
ORD_10244,CUST_2495,2024-03-24,2258,COD,Cancelled,Mumbai
ORD_10245,CUST_1956,2024-01-12,4357,UPI,Cancelled,Pune
ORD_10246,CUST_6306,2024-03-25,965,Netbanking,Delivered,Pune
ORD_10247,CUST_3753,2024-03-05,1903,COD,Cancelled,Bangalore
ORD_10248,CUST_7725,2024-02-09,868,Netbanking,Delivered,Bangalore
ORD_10249,CUST_1465,2024-04-28,550,Netbanking,Delivered,Delhi
ORD_10250,CUST_7523,2023-12-16,2105,Card,Returned,Hyderabad
ORD_10251,CUST_2655,2024-04-15,4398,Netbanking,Returned,Delhi
ORD_10252,CUST_8226,2024-05-31,514,Card,Delivered,Delhi
ORD_10253,CUST_6715,2024-02-10,5038,Netbanking,Delivered,Mumbai
ORD_10254,CUST_1912,2024-01-10,4083,UPI,Delivered,Pune
ORD_10255,CUST_8131,2024-04-19,1934,COD,Delivered,Pune
ORD_10256,CUST_4253,2023-12-06,4326,UPI,Delivered,Kolkata
ORD_10257,CUST_5317,2024-02-22,2732,Card,Delivered,Delhi
ORD_10258,CUST_1758,2024-04-30,587,Card,Delivered,Chennai
ORD_10259,CUST_4389,2024-05-14,362,Card,Delivered,Hyderabad
ORD_10260,CUST_3179,2023-12-26,693,COD,Returned,Chennai
ORD_10261,CUST_1144,2023-12-12,1689,UPI,Delivered,Mumbai
ORD_10262,CUST_1597,2024-03-21,4467,Card,Returned,Chennai
ORD_10263,CUST_3801,2024-05-16,531,COD,Cancelled,Chennai
ORD_10264,CUST_5426,2024-05-05,5228,Netbanking,Delivered,Hyderabad
ORD_10265,CUST_4415,2024-05-09,3235,Card,Cancelled,Chennai
ORD_10266,CUST_7331,2024-04-20,5005,COD,Returned,Pune
ORD_10267,CUST_7384,2024-03-06,4771,COD,Delivered,Chennai
ORD_10268,CUST_7680,2024-04-18,3352,COD,Returned,Hyderabad
ORD_10269,CUST_5371,2024-02-16,3528,UPI,Cancelled,Mumbai
ORD_10270,CUST_5240,2023-12-24,5183,COD,Cancelled,Hyderabad
ORD_10271,CUST_8908,2024-01-03,4366,UPI,Cancelled,Chennai
ORD_10272,CUST_4607,2023-12-18,3689,Card,Delivered,Pune
ORD_10273,CUST_5855,2023-12-29,1993,Netbanking,Delivered,Chennai
ORD_10274,CUST_4581,2024-02-03,4559,UPI,Cancelled,Chennai
ORD_10275,CUST_6754,2023-12-13,1536,UPI,Delivered,Delhi
ORD_10276,CUST_2997,2023-12-18,1328,UPI,Delivered,Pune
ORD_10277,CUST_8214,2024-01-06,4299,Netbanking,Delivered,Chennai
ORD_10278,CUST_6508,2024-05-31,745,UPI,Delivered,Kolkata
ORD_10279,CUST_1707,2024-04-07,4852,UPI,Cancelled,Delhi
ORD_10280,CUST_1904,2024-02-08,2145,COD,Cancelled,Mumbai
ORD_10281,CUST_3071,2023-12-22,2209,UPI,Returned,Mumbai
ORD_10282,CUST_5210,2024-03-22,4032,UPI,Returned,Hyderabad
ORD_10283,CUST_1665,2024-02-23,2633,Card,Delivered,Delhi
ORD_10284,CUST_1784,2023-12-31,3084,Card,Delivered,Mumbai
ORD_10285,CUST_3157,2024-01-21,1927,COD,Delivered,Chennai
ORD_10286,CUST_1044,2024-03-03,1396,COD,Returned,Kolkata
ORD_10287,CUST_3350,2024-05-25,4835,Netbanking,Cancelled,Bangalore
ORD_10288,CUST_5452,2024-02-26,4656,UPI,Delivered,Hyderabad
ORD_10289,CUST_5228,2023-12-31,2459,UPI,Delivered,Hyderabad
ORD_10290,CUST_4936,2024-03-26,2072,Card,Delivered,Chennai
ORD_10291,CUST_4044,2024-05-30,4681,Netbanking,Cancelled,Delhi
ORD_10292,CUST_6431,2024-01-06,2475,COD,Delivered,Bangalore
ORD_10293,CUST_1685,2024-03-15,3727,Card,Delivered,Chennai
ORD_10294,CUST_2753,2024-01-09,3661,UPI,Delivered,Hyderabad
ORD_10295,CUST_3697,2024-03-12,4334,COD,Delivered,Pune
ORD_10296,CUST_4105,2023-12-05,1531,Netbanking,Delivered,Hyderabad
ORD_10297,CUST_7909,2024-05-09,4723,COD,Delivered,Delhi
ORD_10298,CUST_4750,2023-12-06,4368,COD,Delivered,Delhi
ORD_10299,CUST_5600,2024-01-15,3136,Card,Returned,Mumbai
ORD_10300,CUST_6386,2023-12-16,3576,UPI,Delivered,Kolkata
ORD_10301,CUST_7601,2024-03-21,2429,UPI,Delivered,Mumbai
ORD_10302,CUST_2406,2024-04-24,3274,Netbanking,Delivered,Hyderabad
ORD_10303,CUST_3797,2023-12-22,3211,COD,Delivered,Chennai
ORD_10304,CUST_4854,2024-02-07,4234,Netbanking,Returned,Hyderabad
ORD_10305,CUST_2418,2023-12-13,3436,COD,Delivered,Pune
ORD_10306,CUST_7362,2024-01-30,2536,UPI,Cancelled,Delhi
ORD_10307,CUST_7960,2024-03-26,2936,Netbanking,Cancelled,Mumbai
ORD_10308,CUST_7254,2024-01-25,2572,UPI,Delivered,Bangalore
ORD_10309,CUST_2181,2024-02-27,4431,Netbanking,Cancelled,Chennai
ORD_10310,CUST_2052,2024-02-15,4395,Card,Delivered,Kolkata
ORD_10311,CUST_1086,2024-04-17,3347,Netbanking,Cancelled,Kolkata
ORD_10312,CUST_3204,2024-01-25,5073,UPI,Delivered,Delhi
ORD_10313,CUST_4554,2024-05-28,4963,COD,Delivered,Kolkata
ORD_10314,CUST_4834,2024-01-22,2161,UPI,Cancelled,Hyderabad
ORD_10315,CUST_1609,2024-03-01,971,UPI,Delivered,Bangalore
ORD_10316,CUST_1069,2024-03-17,2020,UPI,Cancelled,Bangalore
ORD_10317,CUST_2112,2024-03-15,817,Card,Cancelled,Mumbai
ORD_10318,CUST_3635,2023-12-31,971,UPI,Delivered,Bangalore
ORD_10319,CUST_1631,2024-05-25,4273,Netbanking,Delivered,Chennai
ORD_10320,CUST_6004,2023-12-11,2268,Card,Delivered,Hyderabad
ORD_10321,CUST_1146,2024-05-12,368,COD,Delivered,Delhi
ORD_10322,CUST_3112,2024-04-13,2741,COD,Delivered,Hyderabad
ORD_10323,CUST_1926,2023-12-19,2981,COD,Returned,Bangalore
ORD_10324,CUST_1698,2024-05-28,4433,COD,Cancelled,Chennai
ORD_10325,CUST_3284,2024-03-15,4175,COD,Delivered,Hyderabad
ORD_10326,CUST_3169,2024-04-15,4171,Card,Delivered,Chennai
ORD_10327,CUST_6874,2024-04-24,4577,Card,Delivered,Delhi
ORD_10328,CUST_2234,2024-05-13,1611,Card,Returned,Kolkata
ORD_10329,CUST_7021,2024-01-29,920,UPI,Delivered,Chennai
ORD_10330,CUST_5812,2023-12-12,5064,Card,Delivered,Mumbai
ORD_10331,CUST_7650,2024-04-15,5254,Card,Delivered,Chennai
ORD_10332,CUST_2755,2024-01-27,4694,Card,Delivered,Bangalore
ORD_10333,CUST_7577,2024-01-12,4963,Netbanking,Delivered,Chennai
ORD_10334,CUST_6755,2024-01-04,500,COD,Delivered,Hyderabad
ORD_10335,CUST_2772,2024-03-18,4381,COD,Returned,Hyderabad
ORD_10336,CUST_3864,2024-01-18,1257,Card,Delivered,Hyderabad
ORD_10337,CUST_3926,2024-03-06,1852,Card,Delivered,Chennai
ORD_10338,CUST_6049,2023-12-17,4596,UPI,Delivered,Delhi
ORD_10339,CUST_3844,2024-02-11,1804,COD,Delivered,Pune
ORD_10340,CUST_8284,2024-04-14,1751,Card,Delivered,Hyderabad
ORD_10341,CUST_3497,2024-01-09,1288,COD,Delivered,Chennai
ORD_10342,CUST_2743,2024-03-13,5273,COD,Returned,Delhi
ORD_10343,CUST_4681,2024-03-29,2769,COD,Delivered,Kolkata
ORD_10344,CUST_8794,2024-01-25,1127,Card,Returned,Hyderabad
ORD_10345,CUST_1588,2024-04-06,4446,Netbanking,Cancelled,Mumbai
ORD_10346,CUST_8928,2024-04-28,1024,COD,Delivered,Bangalore
ORD_10347,CUST_7085,2024-04-08,445,Card,Delivered,Bangalore
ORD_10348,CUST_8900,2024-04-05,2841,Card,Returned,Kolkata
ORD_10349,CUST_1191,2024-04-23,5160,COD,Delivered,Mumbai
ORD_10350,CUST_6895,2024-02-08,5010,COD,Returned,Mumbai
ORD_10351,CUST_4955,2024-05-18,2757,Card,Delivered,Chennai
ORD_10352,CUST_4813,2024-04-09,2756,Card,Delivered,Chennai
ORD_10353,CUST_2310,2024-05-17,994,Netbanking,Delivered,Kolkata
ORD_10354,CUST_6332,2023-12-15,3541,Card,Delivered,Bangalore
ORD_10355,CUST_2733,2024-05-28,4054,COD,Delivered,Bangalore
ORD_10356,CUST_2495,2024-05-30,1046,COD,Delivered,Mumbai
ORD_10357,CUST_6274,2024-01-07,4467,Netbanking,Delivered,Pune
ORD_10358,CUST_5154,2024-01-13,3099,COD,Delivered,Delhi
ORD_10359,CUST_3353,2024-04-17,2846,UPI,Delivered,Pune
ORD_10360,CUST_6135,2024-04-15,1255,UPI,Returned,Pune
ORD_10361,CUST_5133,2024-02-10,3348,Card,Delivered,Hyderabad
ORD_10362,CUST_7430,2024-04-17,1462,Netbanking,Returned,Chennai
